id;holdate_start;holdate_end;holdate_pay;nb_conge_acquis;nb_conge_pris;date_demande;decision;date_reponse
1;2022-09-30;2022-09-29;42351;45390;85754;2022-09-30;Refuse;2022-09-29
2;2022-09-30;2022-09-29;96219;82893;8713;2022-09-29;Enattente;2022-09-30
3;2022-09-30;2022-09-29;65556;1538;21998;2022-09-29;Accepte;2022-09-30
4;2022-09-29;2022-09-29;26460;55486;17149;2022-09-29;Enattente;2022-09-30
5;2022-09-29;2022-09-29;4023;26761;44467;2022-09-30;Accepte;2022-09-30
6;2022-09-29;2022-09-29;64626;59086;12162;2022-09-30;Accepte;2022-09-29
7;2022-09-29;2022-09-30;19729;71621;35610;2022-09-29;Refuse;2022-09-29
8;2022-09-30;2022-09-30;44074;97898;42351;2022-09-29;Refuse;2022-09-30
9;2022-09-29;2022-09-30;53363;60147;60768;2022-09-30;Enattente;2022-09-29
10;2022-09-30;2022-09-30;23418;45808;1898;2022-09-30;Refuse;2022-09-30
