id;name;numero_siret;num_ape;num_urssaf
1;lime;bypass firewal;hapti;Music HatXXXXX
2;Fresh reboot;EXE motivating;b aux;interface serv
3;scalable HTTP Refined;aXXXXXXXXXXXXX;b Age;AwesomeXXXXXXX
4;Front-line;Administrateur;aXXXX;aXXXXXXXXXXXXX
5;architectures sensor Frozen;disintermediat;overr;Savings Yen bX
6;conglomeration;XML embrace Cr;mobil;Mongolie navig
7;Avon Oman;Limousin bandw;Intel;dot-comXXXXXXX
8;redundant unleash;SuperviseurXXX;b Man;Bangladesh red
9;Pays-Bas Bacon;Alsace invoice;multi;synergies Cent
10;Computers;JBOD Metal Acc;portX;Generic b Buck
